韩国,#genre#
KBS1,http://mytv.dothome.co.kr/ch/public/1.php
KBS1,http://mytv.dothome.co.kr/ch/public/11.php
KBS1,http://mytv.dothome.co.kr/ch/public/13.php
KBS1,https://1tv.gscdn.kbs.co.kr/1tv_3.m3u8
KBS1,https://stream.ogtv2.com/live/live1004.m3u8
KBS1,https://stream.ogtv3.com/live/live1004.m3u8
KBS2,http://mytv.dothome.co.kr/ch/public/3.php
KBS2,https://stream.ogtv3.com/live/live1005.m3u8
KBS2,https://stream.ogtv2.com/live/live1005.m3u8
sbs,https://vod.ikbc.co.kr/KBCTV/tv/chunklist_w1271401970.m3u8
sbs,https://stream.ogtv2.com/live/live1006.m3u8
sbs,https://stream.ogtv3.com/live/live1006.m3u8
mbc,https://stream.chmbc.co.kr/TV/myStream/playlist.m3u8
mbc,https://ns1.tjmbc.co.kr/live/myStream.sdp/chunklist_w1360221955.m3u8
mbc,http://vod.mpmbc.co.kr:1935/live/encoder-tv/chunklist_w260947833.m3u8
mbc,https://stream.ogtv3.com/live/live1003.m3u8
mbc,https://stream.ogtv2.com/live/live1003.m3u8
티비조선,https://stream.ogtv3.com/live/live1012.m3u8
티비조선,https://stream.ogtv2.com/live/live1012.m3u8
Jtbc,https://stream.ogtv3.com/live/live1009.m3u8
Jtbc,https://stream.ogtv2.com/live/live1009.m3u8
채널A,https://stream.ogtv3.com/live/live1010.m3u8
채널A,https://stream.ogtv2.com/live/live1010.m3u8
ocn,https://stream.ogtv3.com/live/live1011.m3u8
ocn,https://stream.ogtv2.com/live/live1011.m3u8
ybtv1,https://live.ybtvyun.com/video/s10016-ca5bdbc3f06d/index.m3u8
ybtv 2,https://live.ybtvyun.com/video/s10016-6d4fe23a90b3/index.m3u8
연변위성,https://live.ybtvyun.com/video/s10016-5adcf2b11d0d/index.m3u8
tvN,https://stream.ogtv3.com/live/live1007.m3u8
tvN,https://stream.ogtv2.com/live/live1007.m3u8
ytn,http://210.92.207.38:40001
ytn,https://stream.ogtv2.com/live/live1021.m3u8
ytn,https://3dfca2f30b3748309f76481c22234317.mediatailor.ap-northeast-1.amazonaws.com/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-smxexj48frsds/c43d4523-673b-464a-825a-c7760e1a07b9/0.m3u8
ytn,https://stream.ogtv3.com/live/live1021.m3u8
YTN2,https://ytn2live.ytn.co.kr/ytn2/_definst_/20211118_ytn2/medialist_9171188557012390620_hls.m3u8
TVN movie,http://210.210.155.37/dr9445/h/h21/index.m3u8
MBN,https://stream.ogtv3.com/live/live1008.m3u8
MBN,https://stream.ogtv2.com/live/live1008.m3u8
MBN,http://mytv.dothome.co.kr/ch/catv/54.php
연합뉴스,https://stream.ogtv2.com/live/live1011.m3u8
연합뉴스,https://2f1692522a3a425d9df0c8cc9bda9fd5.mediatailor.ap-northeast-1.amazonaws.com/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-6tpj7htwv2prd/ae94c4df-e464-4152-86e7-17b8cb192229/0.m3u8
연합뉴스,https://stream.ogtv3.com/live/live1011.m3u8
the movie,https://stream.ogtv3.com/live/live1027.m3u8
the movie,https://stream.ogtv2.com/live/live1027.m3u8
ocn mmovie,https://stream.ogtv2.com/live/live1030.m3u8
ocn mmovie,https://stream.ogtv3.com/live/live1030.m3u8
스크린,https://stream.ogtv2.com/live/live1026.m3u8
스크린,https://stream.ogtv3.com/live/live1026.m3u8
시네마천국,https://stream.ogtv2.com/live/live1020.m3u8
시네마천국,https://stream.ogtv3.com/live/live1020.m3u8
ena,https://stream.ogtv2.com/live/live1016.m3u8
ena,https://stream.ogtv3.com/live/live1016.m3u8
ena 드라마,https://stream.ogtv2.com/live/live1019.m3u8
ena 드라마,https://stream.ogtv3.com/live/live1019.m3u8
tvn 드라마,https://stream.ogtv2.com/live/live1020.m3u8
tvn 드라마,https://stream.ogtv3.com/live/live1020.m3u8
tvn story,https://stream.ogtv2.com/live/live1018.m3u8
tvn story,https://stream.ogtv3.com/live/live1018.m3u8
스포티비 프라임1,https://stream.ogtv2.com/live/live483.m3u8
스포티비 프라임2,https://stream.ogtv2.com/live/live482.m3u8
스포티비 플러스,https://stream.ogtv2.com/live/live487.m3u8
쿠팡티비,https://stream.ogtv2.com/live/live484.m3u8
스카이 스포츠,https://stream.ogtv2.com/live/live234.m3u8
한국경제TV,http://cdnmlive.wowtv.co.kr/wowmo/livestream/chunklist_w43658333.m3u8
매일경제TV,http://vodmmf.mbn.co.kr/mmoney/smil:money.smil/chunklist_b440000.m3u8
머니투데이방송,http://moneytoday1.ktcdn.co.kr:1935/mtnlive/720/playlist.m3u8
아리랑,http://amdlive-ch01.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
KBS Drama,http://luotuo.ycchenrong.cn/dl/kbs.php?id=5
KBS Drama,http://mytv.dothome.co.kr/ch/catv/2.phpebs1
KBS Story,http://mytv.dothome.co.kr/ch/catv/4.php
KBS W,https://livecdn.fptplay.net/sdb/kbs_hls.smil/playlist.m3u8
KBS W,http://luotuo.ycchenrong.cn/dl/kbs.php?id=3
KBS W,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/01.m3u8
KBS Joy,http://mytv.dothome.co.kr/ch/catv/3.php
KBS LIFE,http://mytv.dothome.co.kr/ch/catv/5.php 
ebs1,http://ebsonair.ebs.co.kr/ebs1familypc/familypc1m/playlist.m3u8
ebs2,http://ebsonair.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
ebse,http://ebsonair.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
ebs키즈,http://ebsonair.ebs.co.kr/ebsufamilypc/familypc1m/playlist.m3u8
북조선중앙티비,https://tv.nknews.org/tvdash/stream.mpd
낚시방송,http://media.fishingtv.kr:1935/mobileLIVE/_definst_/mp4:livestream.sdp/playlist.m3u8
KBS1,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=kbs1_540&sid=fyAvvD3F74POZh6GmE2btRtXE3FRA7x4WA5l1B5m&secret=f1ecf5d3c1cda86dc1eb741cec2e91bf&time=1742499426
KBS2,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=kbs2_540&sid=nGwIH0XSiD8i6BgNlw1BzsZ9ZkNGavHRb7KWRaUB&secret=24378334b2628dc756899977221fbe37&time=1742499579
MBC,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=mbc_540&sid=cYv0MwcyxtgbkvkdS30WL46OlWzp3kWCZFidZJGK&secret=e621dd2e826c29c6b98bd22932c77424&time=1742499690
SBS,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=sbs_540&sid=CK45nVecsqumJABGLWQSH9lLnJLYCsrHqRYvh8yT&secret=c924444c2e10e6a9d11fd26170a3f60c&time=1742499811
TV조선,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=tvchosun_540&sid=fKZsnPIjdoVZrjIWsqL5dPcQwba75T2ANFPAQIih&secret=18d00e092d1f8fa5a6107f0328ff4972&time=1742500050
MBN,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=mbn_540&sid=JrgTsnJKQo0TU9yiyoZf7eA9llHJEMpTQlgyggsJ&secret=68b0e61613ec8fda51fd248052b6aa69&time=1742500229
YTN,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=ytn_540&sid=HxS8g2O614Z22pnhG5974Hey06SlgSHeT24eUPwD&secret=3d4c2a8304d1673ecd3114c5c6f48568&time=1742500356
연합뉴스TV,http://live-edge-th136.myjktv.com/watch/live.m3u8?video=newsy_540&sid=aMAYwrglW2l9anHE3tYS8r8mdHIK9eoLvfM8gz8k&secret=bdb9ae84defc939403a2fbc11cb0007a&time=1696422007
채널A,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=channela_540&sid=zLhHxUtd4yz2toiohNMEfx63yhemDSOd2xgsFaBV&secret=ad760dc9b77c911e341d5e114e36feff&time=1742500133
tvN,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=tvn_540&sid=7ShO5pdx6qZfpHlGmEfTN5B4uZjDTHh5VGBEB9jZ&secret=3e346c2d333f3ee2c6e6e6564e20b745&time=1742501727
JTBC,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=jtbc_540&sid=ueRIPcU1CmpLxvesJU3p3VVgAfWDA7Gq6Ok1SwdS&secret=7e0fd7ca14ec47bd96aca368dade12a4&time=1742499897
ENA,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=kbs_joy_540&sid=tLqu4O06OBUd42Bf6pQzEj5iFGeblET7JuLcQfc7&secret=9b1bada69fe289f71ac1e24e8376b857&time=1742501919
OCN,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=ocn_540&sid=xj4lHGf3jWSxgXazNuLLcjeF93qQsCWm3Ps4Yeno&secret=6d25cb8da847b90813c339a3905d892a&time=1742502142
OCN Movies,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=cgv_540&sid=Lp0efv0hRiVjwLKCtb0qDKZW586UTvPRfi1KZWmp&secret=fff77ea7e1462447de7e4cb0e0ba0234&time=1742502199
OCN Movies2,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=super_action_540&sid=QPacI6i2eH4RJ3EUx6gV4cCyzBRIBmJJyITwSCrN&secret=20e95b15862eb7628d7e1db6ef6dff2d&time=1742502255
tvN Show,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=xtm_540&sid=wR1QTGj0fFaQn3wBtsFhhWN7UA41PTwJyTbKntvU&secret=af9e9bbf95a8071899bdee00d178ffbf&time=1742502367
iNET,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=inet_540&sid=OPbFOFpoTQ729gz3U05zWdlE920QJze3POZPfHuO&secret=5121ac51f8f56d26f013a0db2cbe06e9&time=1742556350
SBS Plus,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=sbs_plus_540&sid=syCIAWw5LA5R9EkVZhUAQgU7aMIoy8ojVwul0T1b&secret=406c160188ee60dacd0829b4d801fc2e&time=1742560026
Channel E,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=channel_e_540&sid=y8c3beG6YJJDp9UMDq1kKSrl1NC0wY4mjXGAlZP6&secret=9ae1c63d7157e00c9298122b44e8e081&time=1742560086
KBS Drama,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=kbs_drama_540&sid=q3B5WSCH4URY8GiHOmAi4YrNVPWKot9vVlo9Vif3&secret=af52b1a2db7f1a11eee422a86931dfa4&time=1742559860
코메디TV,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=comedy_540&sid=VwrbOrArABoCGtqRD7p4O5o3TLyqonOhScABtAo7&secret=2fe9f41d49ae8ea23b419e850b69671d&time=1742501996
중화TV,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=chinesetv_540&sid=ZhoPSyCssGAH4bZqbgtiLGY2RRNtZkpxdNaqJ59Z&secret=d61b57728a4807c259df2dad974b8d5b&time=1742555489
MBC On,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=mbc_on_540&sid=1n0TiOLYplMhPQUiUnKKf3j1UuULzQWKwPSDBrkt&secret=0a8915eba29dd2179cd38d8f7fb004ba&time=1742502620
tvN Sports,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=olivetv_540&sid=1t86TZJFPZlUGRsZtf6hKtiACMlOpIOMIOXHZQCC&secret=6d2a3daba14e4b18a09426c6695ab206&time=1742502545
KBSNSPORTS,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=kbs_n_sports_540&sid=2d4lU588IfghL2opd7HM63yE2wS8H52ARHw5HXRQ&secret=2352918e6d64f698127757fa594e1ff4&time=1742500742
MBC SPORTS,https://live-edge-th136.myjktv.com:443/watch/live.m3u8?video=mbc_sports_540&sid=9bv6hEGMpr1RCdE1DpMiWx2PrX8a8kKE1GMt0dJ6&secret=acef719ee24b555d553a928126e2bbd1&time=1742500830
